Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
Toyota,2007,Nigerian Used,166418,2400,Petrol,Automatic,3120000,
Lexus,,,138024,,,Automatic,5834000,
Mercedes-Benz,2008,Nigerian Used,376807,3000,Petrol,Automatic,3640000,
Lexus,,,213362,,,Automatic,3594000,
Mercedes-Benz,,,106199,,,Automatic,8410000,
Mercedes-Benz,,,87660,,,Automatic,5554000,
Lexus,,,191411,,,Automatic,3706000,
Lexus,,,59092,,,Automatic,8410000,
Mercedes-Benz,,,89423,,,Automatic,6506000,
Lexus,,,184827,,,Automatic,4000000,
Lexus,,,42433,,,Automatic,8970000,
Lexus,,,116138,,,Automatic,3034000,
Lexus,,,167583,,,Automatic,3818000,
Lexus,,,240934,,,Automatic,3930000,
Fiat,,,114,,,Automatic,8500000,
Fiat,,,54,,,Manual,12500000,
Lexus,,,79740,,,Automatic,5274000,
Mercedes-Benz,,,338145,,,Automatic,8060000,
Lexus,,,174545,,,Automatic,6506000,
Land Rover,,,63296,,,Automatic,6910000,
Mercedes-Benz,,,93469,,,Automatic,6910000,
Mercedes-Benz,,,63085,,,Automatic,15690000,
Mercedes-Benz,,,131405,,,Automatic,5610000,
Toyota,,,162853,,,Manual,3395000,
Lexus,,,169675,,,Automatic,3146000,
Lexus,,,147574,,,Automatic,3620000,
Lexus,,,70445,,,Automatic,5500000,
Foton,,,54470,,,Manual,4938000,
Lexus,,,130165,,,Automatic,3818000,
Lexus,,,75478,,,Automatic,3497500,
Lexus,2008,Foreign Used,301265,3500,Petrol,Automatic,4680000,
Mercedes-Benz,,,145317,,,Automatic,10650000,
Lexus,2011,Nigerian Used,105546,4600,Petrol,Automatic,14040000,SUV
Lexus,,,60730,,,Automatic,3706000,
Lexus,,,98594,,,Automatic,10650000,
Mercedes-Benz,,,188429,,,Automatic,6170000,
Mercedes-Benz,,,128877,,,Automatic,16332500,
JAC,,,9972,,,Automatic,6730000,
Lexus,,,98226,,,Automatic,4378000,
Lexus,,,211824,,,Automatic,3610000,
JAC,,,35403,,,Automatic,7850000,
Lexus,,,72429,,,Automatic,3818000,
Land Rover,,,82891,,,Automatic,5386000,
Lexus,2011,Foreign Used,211917,3500,Petrol,Automatic,6968000,
Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,9360000,SUV
Lexus,,,97215,,,Automatic,8500000,
Lexus,,,32096,,,Automatic,13450000,
Lexus,,,,,,,11000000,
Lexus,,,211824,,,Automatic,3610000,
Lexus,,,72429,,,Automatic,3818000,
Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,9360000,SUV
Lexus,,,81936,,,Automatic,3370000,
Mercedes-Benz,,,146891,,,Automatic,4210000,
Lexus,,,,,,,9000000,
Lexus,2016,Nigerian Used,107355,5700,Petrol,Automatic,42000000,SUV
Toyota,2009,Nigerian Used,134232,2400,Petrol,Manual,4725000,
Mercedes-Benz,,,147895,,,Automatic,4490000,
Mercedes-Benz,2007,Foreign Used,209466,4700,Petrol,Automatic,4515000,SUV
Mercedes-Benz,,,156155,,,Automatic,6730000,
Mercedes-Benz,2017,Nigerian Used,31079,3000,Petrol,Automatic,41600000,
Mercedes-Benz,,,34590,,,Automatic,5834000,
Mercedes-Benz,,,81907,,,Automatic,3146000,
Lexus,2010,Foreign Used,135819,3500,Petrol,Automatic,8610000,SUV
Mercedes-Benz,,,95702,,,Manual,3706000,
Mercedes-Benz,2015,Nigerian Used,120785,4500,Petrol,Automatic,18720000,SUV
Lexus,2006,Nigerian Used,156704,3300,Petrol,Automatic,3640000,SUV
Toyota,2013,Foreign Used,143701,1800,Petrol,Automatic,10400000,
Lexus,2008,Nigerian Used,162262,4700,Petrol,Automatic,4725000,SUV
Land Rover,,,179633,,,Automatic,5050000,
Mercedes-Benz,,,59295,,,Automatic,5610000,
Land Rover,2011,Nigerian Used,132352,5000,Petrol,Automatic,5250000,SUV
Toyota,2010,Foreign Used,170599,3500,Petrol,Automatic,6825000,SUV
Lexus,2007,Foreign Used,203492,3500,Petrol,Automatic,4410000,
Lexus,2014,Foreign Used,72352,3500,Petrol,Automatic,9240000,
Mercedes-Benz,,,13123,,,Automatic,39210000,
Lexus,,,63086,,,Automatic,7850000,
Fiat,,,174,,,Manual,11700000,
Lexus,2015,Foreign Used,228013,3500,Petrol,Automatic,15600000,SUV
Mercedes-Benz,2014,Nigerian Used,173644,1800,Petrol,Automatic,6090000,
Toyota,2015,Foreign Used,79277,4000,Petrol,Automatic,17680000,SUV
Lexus,2015,Nigerian Used,88745,3500,Petrol,Automatic,9450000,SUV
Fiat,2000,Foreign Used,286241,24000,Diesel,Manual,3675000,
Toyota,2010,Foreign Used,158017,3500,Petrol,Automatic,6825000,SUV
Toyota,2012,Foreign Used,122807,3500,Petrol,Automatic,8820000,
Lexus,2004,Foreign Used,250650,3500,Petrol,Automatic,6032000,SUV
Mercedes-Benz,2006,Nigerian Used,243975,3500,Petrol,Automatic,3360000,SUV
Lexus,2013,Foreign Used,192175,3500,Petrol,Automatic,9880000,
Land Rover,2018,Foreign Used,30092,3000,Diesel,Automatic,36750000,SUV
Lexus,2014,Foreign Used,77859,3500,Petrol,Automatic,10400000,
Mercedes-Benz,2012,Foreign Used,173337,3500,Petrol,Automatic,11025000,SUV
Lexus,,,63086,,,Automatic,7850000,
Toyota,2015,Foreign Used,88627,3500,Petrol,Automatic,15600000,
Lexus,2007,Foreign Used,141782,4600,Petrol,Automatic,4368000,
Lexus,2005,Foreign Used,95873,3300,Petrol,Automatic,5200000,SUV
Land Rover,2018,Foreign Used,30092,3000,Diesel,Automatic,36750000,SUV
Fiat,2000,Foreign Used,286241,24000,Diesel,Manual,3675000,
Toyota,2011,Foreign Used,215398,3500,Petrol,Automatic,4725000,
Mercedes-Benz,2010,Nigerian Used,112360,4600,Petrol,Automatic,6240000,SUV
Toyota,2010,Foreign Used,170599,3500,Petrol,Automatic,6825000,SUV
Lexus,2007,Foreign Used,348830,3500,Petrol,Automatic,4095000,
Lexus,2010,Foreign Used,344424,3500,Petrol,Automatic,9048000,SUV
Lexus,2007,Nigerian Used,170778,3300,Petrol,Automatic,4680000,SUV
Toyota,2012,Foreign Used,122807,3500,Petrol,Automatic,8820000,
Mercedes-Benz,2014,Nigerian Used,173644,1800,Petrol,Automatic,6090000,
Mercedes-Benz,,,59295,,,Automatic,5610000,
Mercedes-Benz,2010,Nigerian Used,112360,4600,Petrol,Automatic,6240000,SUV
Acura,2007,Foreign Used,233488,3700,Petrol,Automatic,3570000,SUV
Toyota,2015,Foreign Used,88627,3500,Petrol,Automatic,15600000,
Acura,2011,Nigerian Used,90726,3700,Petrol,Automatic,4200000,SUV
Mercedes-Benz,2014,Nigerian Used,152669,4700,Petrol,Automatic,13520000,SUV
Toyota,2015,Nigerian Used,47602,3500,Petrol,Automatic,9660000,SUV
Toyota,2008,Foreign Used,132566,4700,Petrol,Automatic,8320000,
Lexus,2007,Foreign Used,255839,3500,Petrol,Automatic,5460000,
Toyota,2013,Nigerian Used,126686,3500,Petrol,Automatic,7280000,SUV
Lexus,2010,Foreign Used,344424,3500,Petrol,Automatic,9048000,SUV
Lexus,2005,Foreign Used,95873,3300,Petrol,Automatic,5200000,SUV
Land Rover,2013,Nigerian Used,76069,4500,Petrol,Automatic,4200000,SUV
Toyota,2007,Foreign Used,401813,2400,Petrol,Automatic,3885000,
Lexus,2002,Foreign Used,119143,3000,Petrol,Automatic,3848000,SUV
Land Rover,2011,Nigerian Used,26628,5000,Petrol,Automatic,9360000,SUV
Mercedes-Benz,2006,Nigerian Used,231361,5000,Petrol,Automatic,3675000,
Lexus,2007,Foreign Used,175135,3500,Petrol,Automatic,4500000,SUV
Tata,2008,Foreign Used,,371000,Diesel,Manual,17850000,
Lexus,2010,Nigerian Used,140073,3500,Petrol,Automatic,4784000,
Toyota,2004,Foreign Used,294359,2400,Petrol,Automatic,4160000,SUV
Saturn,2007,Nigerian Used,,3600,Petrol,Automatic,3150000,SUV
Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,14560000,SUV
Porsche,2004,Foreign Used,359713,4500,Petrol,Automatic,4200000,SUV
Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,6240000,SUV
Toyota,2014,Foreign Used,65308,2000,Petrol,Automatic,9450000,
Lexus,2007,Foreign Used,198969,2500,Petrol,Automatic,4992000,
Toyota,2007,Foreign Used,149184,4000,Petrol,Automatic,6448000,SUV
Lexus,2009,Foreign Used,173307,3500,Petrol,Automatic,4500000,
Toyota,2009,Foreign Used,208827,2400,Petrol,Automatic,3952000,
Lexus,2006,Foreign Used,376865,3500,Petrol,Automatic,4680000,
Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,23920000,SUV
Lexus,2008,Nigerian Used,97315,3200,Petrol,Automatic,3640000,
Lexus,2010,Nigerian Used,140073,3500,Petrol,Automatic,4784000,
Toyota,2015,Foreign Used,96531,3500,Petrol,Automatic,10290000,
Acura,2011,Nigerian Used,78613,3700,Petrol,Automatic,6240000,SUV
Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,3150000,
Mercedes-Benz,2010,Foreign Used,,2500,Petrol,Automatic,4200000,
Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,3328000,SUV
Lexus,2007,Foreign Used,65060,3500,Petrol,AMT,3885000,
Mercedes-Benz,2007,Nigerian Used,1966,35,Petrol,Automatic,5720000,SUV
Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,12600000,SUV
Lexus,2011,Foreign Used,137902,3000,Petrol,Automatic,4992000,
Mercedes-Benz,2009,Nigerian Used,121829,4600,Petrol,Automatic,5720000,SUV
Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,6240000,SUV
Mercedes-Benz,2013,Foreign Used,232813,4700,Petrol,Automatic,14560000,
Lexus,2007,Foreign Used,124511,3500,Petrol,Automatic,4200000,
Mercedes-Benz,2010,Foreign Used,,2500,Petrol,Automatic,4200000,
Lexus,2015,Nigerian Used,24855,3500,Petrol,Automatic,10920000,SUV
Land Rover,2006,Foreign Used,213515,4400,Petrol,Automatic,3150000,SUV
Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,10500000,SUV
Mercedes-Benz,2008,Foreign Used,227689,3500,Petrol,Automatic,3885000,
Toyota,2010,Foreign Used,236601,2500,Petrol,Automatic,6448000,SUV
Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,36750000,SUV
Toyota,2017,Foreign Used,107748,2500,Petrol,Automatic,12600000,SUV
Lexus,2006,Foreign Used,100763,3000,Petrol,Automatic,3150000,
Mercedes-Benz,2011,Nigerian Used,112122,4700,Petrol,Automatic,6760000,SUV
Lexus,2007,Nigerian Used,170778,3300,Petrol,Automatic,4680000,SUV
Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,4680000,SUV
Toyota,2008,Foreign Used,93474,3500,Petrol,Automatic,6300000,SUV
Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000,
Mercedes-Benz,2015,Foreign Used,168946,3500,Petrol,Automatic,17680000,SUV
Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,10400000,SUV
Lexus,2007,Foreign Used,104138,3500,Petrol,Automatic,5928000,SUV
Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,3780000,
Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,13520000,SUV
Toyota,2008,Nigerian Used,118743,3500,Petrol,Automatic,4784000,SUV
Toyota,2010,Foreign Used,131164,2700,Petrol,Automatic,6090000,SUV
Toyota,2009,Foreign Used,168603,2500,Petrol,Automatic,4620000,SUV
Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,5200000,
Mercedes-Benz,2006,Nigerian Used,231361,5000,Petrol,Automatic,3675000,
Land Rover,2014,Nigerian Used,56908,5000,Petrol,Automatic,26000000,SUV
Lexus,2008,Foreign Used,200262,35000,Petrol,Automatic,4680000,
Toyota,2009,Nigerian Used,205371,3500,Petrol,Automatic,7072000,SUV
Mercedes-Benz,2006,Nigerian Used,380097,5000,Petrol,Automatic,5200000,SUV
Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,14560000,SUV
Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,3150000,SUV
Lexus,2008,Foreign Used,85901,3500,Petrol,Automatic,3885000,
Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,4992000,SUV
Toyota,2007,Foreign Used,274477,2400,Petrol,Automatic,3640000,
Toyota,2011,Nigerian Used,114388,4000,Petrol,Automatic,10500000,SUV
Toyota,2011,Foreign Used,166839,2500,Petrol,Automatic,4160000,
Mercedes-Benz,,,118616,,,Automatic,11210000,
Toyota,2014,Foreign Used,70649,3500,Petrol,Automatic,8400000,SUV
Mercedes-Benz,2008,Nigerian Used,215559,,Petrol,Automatic,6032000,SUV
Mercedes-Benz,2008,Nigerian Used,650,4000,Petrol,Automatic,6760000,SUV
Acura,2011,Nigerian Used,90726,3700,Petrol,Automatic,4200000,SUV
Toyota,2013,Nigerian Used,79393,4700,Petrol,Automatic,26000000,SUV
Lexus,2004,Nigerian Used,98430,4700,Petrol,Automatic,4680000,SUV
Toyota,2010,Foreign Used,237886,2400,Petrol,Automatic,3675000,
Lexus,2006,Nigerian Used,144513,3300,Petrol,Automatic,3744000,SUV
Toyota,2015,Nigerian Used,67161,2500,Petrol,Automatic,10400000,SUV
Mercedes-Benz,2016,Nigerian Used,62476,3500,Petrol,Automatic,15750000,
Lexus,2008,Nigerian Used,224605,4600,Petrol,Automatic,4725000,
Toyota,2016,Foreign Used,149753,2500,Hybrid,Automatic,5985000,
Toyota,2013,Foreign Used,169183,2700,Petrol,Automatic,8610000,
Mercedes-Benz,2013,Foreign Used,222344,3500,Petrol,Automatic,8925000,SUV
Toyota,2011,Foreign Used,93785,3000,Petrol,Automatic,8528000,SUV
Mercedes-Benz,2010,Nigerian Used,299309,4600,Petrol,Automatic,5775000,SUV
Toyota,2009,Foreign Used,137397,2400,Petrol,Automatic,3952000,
Acura,2011,Nigerian Used,178050,3700,Petrol,Automatic,5200000,SUV
Toyota,2015,Foreign Used,218139,2700,Petrol,Automatic,8925000,SUV
Mercedes-Benz,2008,Foreign Used,175183,3000,Petrol,Automatic,4680000,
Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,3780000,
Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,11232000,
Land Rover,2006,Nigerian Used,113872,4400,Petrol,Automatic,3120000,
Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,5200000,SUV
Toyota,2011,Foreign Used,257742,3500,Petrol,Automatic,4935000,
Toyota,2014,Foreign Used,86077,3500,Petrol,Automatic,14700000,SUV
Toyota,2012,Nigerian Used,76334,3500,Petrol,Automatic,5565000,SUV
Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,23920000,SUV
Mercedes-Benz,2011,Nigerian Used,193201,3500,Petrol,Automatic,5616000,
Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,3328000,SUV
Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,4515000,SUV
Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,3150000,SUV
Toyota,2014,Foreign Used,89208,2500,Petrol,Automatic,5250000,
Lexus,2008,Nigerian Used,186699,3500,Petrol,Automatic,3640000,
Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,5200000,SUV
Lexus,2014,Nigerian Used,69129,4600,Petrol,Automatic,18375000,SUV
Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,6825000,SUV
Toyota,2010,Nigerian Used,106427,3500,Petrol,Automatic,6968000,SUV
Toyota,2016,Foreign Used,55055,2500,Petrol,Automatic,6720000,
Toyota,2007,Foreign Used,401813,2400,Petrol,Automatic,3885000,
Lexus,2008,Foreign Used,323768,3500,Petrol,Automatic,3832500,
Lincoln,2019,Nigerian Used,35976,2000,Petrol,Automatic,17850000,SUV
Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,15600000,
Toyota,2015,Foreign Used,40962,2500,Petrol,Automatic,10400000,
Toyota,2011,Foreign Used,142689,2400,Petrol,Automatic,4680000,
Mercedes-Benz,2012,Nigerian Used,99661,3500,Petrol,Automatic,7280000,
Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,6825000,SUV
Mercedes-Benz,2010,Foreign Used,242841,3500,Petrol,Automatic,6615000,SUV
Lexus,2012,Foreign Used,135295,3500,Petrol,Automatic,7072000,
Mercedes-Benz,2013,Nigerian Used,90604,4700,Petrol,Automatic,15600000,SUV
Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,3328000,SUV
Lexus,2007,Nigerian Used,177336,3500,Petrol,Automatic,3650000,SUV
Toyota,2010,Foreign Used,159981,3500,Petrol,Automatic,7560000,SUV
Land Rover,2010,Nigerian Used,140366,50000,Petrol,Automatic,4200000,SUV
Lexus,2012,Foreign Used,134949,3500,Petrol,Automatic,10192000,SUV
Toyota,2008,Foreign Used,197403,3500,Petrol,Automatic,4200000,
Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,4160000,
Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,4992000,SUV
Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,5200000,
Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,8320000,
Mercedes-Benz,2017,Nigerian Used,33853,3000,Petrol,Automatic,33280000,SUV
Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,10400000,SUV
Lexus,2007,Foreign Used,175836,3500,Petrol,Automatic,4680000,
Toyota,2010,Foreign Used,214972,2500,Petrol,Automatic,3675000,
Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,13520000,SUV
Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,3328000,SUV
Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,15600000,
Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,3150000,SUV
Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,4095000,
GMC,2008,Nigerian Used,167643,3600,Petrol,Automatic,3360000,SUV
Mercedes-Benz,2015,Foreign Used,111697,3200,Petrol,Automatic,11550000,
Lexus,2005,Foreign Used,184460,3000,Petrol,Automatic,3675000,
Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,5200000,SUV
Toyota,2009,Foreign Used,176951,2700,Petrol,Automatic,6300000,SUV
Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000,
Acura,2010,Foreign Used,147282,3700,Petrol,Automatic,9360000,SUV
Lexus,2010,Nigerian Used,203171,4600,Petrol,Automatic,13520000,SUV
Mercedes-Benz,2014,Foreign Used,33820,3500,Petrol,Automatic,11440000,
Lexus,2007,Foreign Used,158117,3500,Petrol,Automatic,3675000,
Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,36750000,SUV
Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,7140000,
Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,4472000,SUV
Toyota,2014,Foreign Used,40470,4000,Petrol,Automatic,26000000,SUV
Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,12480000,SUV
Land Rover,2012,Nigerian Used,22281,4900,Petrol,Automatic,8320000,SUV
Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,4200000,
Toyota,2012,Foreign Used,170038,2400,Petrol,Automatic,5250000,
Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,4515000,SUV
Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,4160000,
Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,11232000,
Toyota,2018,Foreign Used,106543,2800,Petrol,Automatic,13520000,
Toyota,2008,Foreign Used,86802,2400,Petrol,Automatic,3045000,
Land Rover,2003,Foreign Used,,3500,Petrol,Automatic,3150000,
Toyota,2013,Foreign Used,195785,3500,Petrol,Automatic,10400000,SUV
Toyota,2008,Nigerian Used,155618,2400,Petrol,Automatic,3016000,SUV
Mercedes-Benz,2016,Foreign Used,12053,35000,Petrol,Automatic,13520000,
Lexus,2017,Foreign Used,26250,3500,Petrol,Automatic,23920000,SUV
Lexus,2010,Foreign Used,193624,3500,Petrol,Automatic,6032000,
Lexus,2005,Foreign Used,124007,3300,Petrol,Automatic,3150000,
Toyota,2015,Foreign Used,261250,2500,Petrol,Automatic,6300000,
